#job id,arrival time (sec),topology,shape,size,duration (sec)
457,10368044,CLOS,0.47,0.47,2863.0
458,10368051,CLOS,1.0,1.0,9433.0
459,10368935,CLOS,1.0,1.0,792.0
460,10369368,CLOS,1.0,1.0,2885.0
461,10369891,CLOS,0.14,0.14,521659.00000000006
462,10369903,CLOS,1.0,1.0,1760.0
463,10370192,CLOS,0.46,0.46,661.0
464,10371165,CLOS,1.0,1.0,1160.0
465,10373128,CLOS,1.0,1.0,4114.0
466,10374297,CLOS,0.47,0.47,1109.0
467,10374738,CLOS,1.0,1.0,1685.0
468,10375735,CLOS,0.47,0.47,465.0
469,10380337,CLOS,1.0,1.0,3778.0
470,10380823,CLOS,1.0,1.0,11956.0
471,10381421,CLOS,1.0,1.0,11963.0
472,10381988,CLOS,1.0,1.0,3615.0
473,10383430,CLOS,0.47,0.47,63.0
474,10383479,CLOS,0.81,0.81,50089.0
475,10384661,CLOS,1.0,1.0,1500.0
476,10384668,CLOS,1.0,1.0,1507.0
477,10387214,CLOS,1.0,1.0,49.0
478,10387422,CLOS,1.0,1.0,11788.0
479,10389446,CLOS,0.47,0.47,57.0
480,10390019,CLOS,0.47,0.47,65.0
481,10390956,CLOS,1.0,1.0,537.0
482,10392044,CLOS,1.0,1.0,3743.0
483,10392058,CLOS,1.0,1.0,58.0
484,10392972,CLOS,1.0,1.0,50.0
485,10393303,CLOS,1.0,1.0,9554.0
486,10394338,CLOS,1.0,1.0,1486.0
487,10395111,CLOS,1.0,1.0,8171.0
488,10395459,CLOS,1.0,1.0,20121.0
489,10398509,CLOS,1.0,1.0,6049.0
490,10398781,CLOS,1.0,1.0,45.0
491,10401633,CLOS,1.0,1.0,600.0
492,10402311,CLOS,0.47,0.47,37.0
493,10405496,CLOS,0.11,0.11,9409.0
494,10405820,CLOS,1.0,1.0,3749.0
495,10406065,CLOS,0.16,0.16,2879.0
496,10409135,CLOS,1.0,1.0,15361.0
497,10409812,CLOS,1.0,1.0,271.0
498,10410767,CLOS,1.0,1.0,7191.0
499,10410937,CLOS,1.0,1.0,3434.0
500,10412019,CLOS,1.0,1.0,1766.0
501,10416283,CLOS,1.0,1.0,1958.0
502,10418049,CLOS,1.0,1.0,2065.0
503,10418677,CLOS,1.0,1.0,1692.0
504,10420053,CLOS,1.0,1.0,6001.0
505,10422335,CLOS,0.46,0.46,597.0
506,10422609,CLOS,1.0,1.0,2234.0
507,10423053,CLOS,0.46,0.46,1021.0
508,10429667,CLOS,1.0,1.0,3935.9999999999995
509,10430841,CLOS,1.0,1.0,4273.0
510,10432820,CLOS,0.23,0.23,199.0
511,10432946,CLOS,0.47,0.47,1236.0
512,10433709,CLOS,0.47,0.47,440.0
513,10433799,CLOS,1.0,1.0,262.0
514,10433959,CLOS,0.48,0.48,131.0
515,10434155,CLOS,0.46,0.46,49498.0
516,10434545,CLOS,1.0,1.0,369.0
517,10434573,CLOS,1.0,1.0,190.0
518,10435374,CLOS,1.0,1.0,1483.0
519,10435598,CLOS,1.0,1.0,1560.0
520,10435669,CLOS,1.0,1.0,3760.0
521,10436334,CLOS,1.0,1.0,3747.0
522,10436385,CLOS,1.0,1.0,242.0
523,10436392,CLOS,0.32,0.32,1456.0
524,10436424,CLOS,1.0,1.0,35.0
525,10436556,CLOS,0.32,0.32,1013.0
526,10437793,CLOS,0.47,0.47,37.0
527,10438117,CLOS,1.0,1.0,12358.0
528,10438646,CLOS,1.0,1.0,1828.0
529,10438828,CLOS,1.0,1.0,5740.0
530,10438984,CLOS,1.0,1.0,5634.0
531,10439500,CLOS,1.0,1.0,45.0
532,10441228,CLOS,1.0,1.0,3753.0
